,Method,Featureamount,Best parameters,Re-Scaled,Accuracy,Precision 0,Precision 1,Recall 0,Recall 1,f1 score 0,f1 score 1,support 0,support 1,TNR,FPR,FNR,TPR,WSVC
0,Raw SVC,17,1,0,0.8888888888888888,0.9042889390519188,0.7529880478087649,0.9699757869249395,0.4713216957605985,0.935981308411215,0.5797546012269938,2065,401,2003,62,212,189,0.0
1,Raw SVC,17,1,0,0.8661800486618005,0.9460154241645244,0.5681381957773513,0.8910411622276029,0.7381546134663342,0.9177057356608479,0.6420824295010846,2065,401,1840,225,105,296,1.0
2,Raw SVC,17,0,0,0.8807785888077859,0.8868501529051988,0.8022598870056498,0.9830508474576272,0.3541147132169576,0.9324758842443731,0.49134948096885805,2065,401,2030,35,259,142,0.0
3,Raw SVC,10,1,0,0.8888888888888888,0.9021104625056129,0.7656903765690377,0.9728813559322034,0.456359102244389,0.9361602982292637,0.5718749999999999,2065,401,2009,56,218,183,0.0
4,Raw SVC,10,1,0,0.8665855636658556,0.949740932642487,0.5671641791044776,0.8876513317191284,0.7581047381546134,0.9176470588235295,0.6488794023479189,2065,401,1833,232,97,304,1.0
5,Raw SVC,10,0,0,0.8868613138686131,0.8968888888888888,0.7824074074074074,0.9772397094430992,0.42144638403990026,0.9353418308227114,0.5478119935170178,2065,401,2018,47,232,169,0.0
6,Raw SVC,9,1,0,0.8909164639091647,0.907811080835604,0.75,0.9680387409200969,0.4937655860349127,0.9369580501523319,0.5954887218045112,2065,401,1999,66,203,198,0.0
7,Raw SVC,9,1,0,0.8669910786699108,0.9469891919711786,0.5697896749521989,0.8910411622276029,0.743142144638404,0.9181636726546906,0.645021645021645,2065,401,1840,225,103,298,1.0
8,Raw SVC,9,0,0,0.8872668288726683,0.897287683414851,0.783410138248848,0.9772397094430992,0.4239401496259352,0.9355586462679648,0.5501618122977346,2065,401,2018,47,231,170,0.0
9,Raw SVC,8,1,0,0.8901054339010543,0.9029649595687331,0.7708333333333334,0.9733656174334141,0.4613466334164589,0.9368445583780004,0.577223088923557,2065,401,2010,55,216,185,0.0
10,Raw SVC,8,1,0,0.8669910786699108,0.9474497681607419,0.5695238095238095,0.8905569007263923,0.7456359102244389,0.9181228157763355,0.6457883369330453,2065,401,1839,226,102,299,1.0
11,Raw SVC,8,0,0,0.8872668288726683,0.8976412995104583,0.7808219178082192,0.9767554479418886,0.42643391521197005,0.9355287569573283,0.5516129032258064,2065,401,2017,48,230,171,0.0
12,Raw SVC,7,1,0,0.8909164639091647,0.9048692515779982,0.7661290322580645,0.971912832929782,0.47381546134663344,0.9371935559187486,0.5855161787365177,2065,401,2007,58,211,190,0.0
13,Raw SVC,7,1,0,0.8682076236820763,0.946611909650924,0.5733590733590733,0.8929782082324456,0.7406483790523691,0.9190132070769998,0.6463547334058759,2065,401,1844,221,104,297,1.0
14,Raw SVC,7,0,0,0.8876723438767234,0.8976868327402135,0.7844036697247706,0.9772397094430992,0.42643391521197005,0.9357755622536518,0.5525040387722133,2065,401,2018,47,230,171,0.0
15,Raw SVC,6,1,0,0.8941605839416058,0.9107468123861566,0.7592592592592593,0.9685230024213075,0.5112219451371571,0.9387467730579676,0.6110283159463488,2065,401,2000,65,196,205,0.0
16,Raw SVC,6,1,0,0.8673965936739659,0.9507261410788381,0.5687732342007435,0.8876513317191284,0.7630922693266833,0.918106686701728,0.6517571884984026,2065,401,1833,232,95,306,1.0
17,Raw SVC,6,0,0,0.8888888888888888,0.9006711409395973,0.7748917748917749,0.974818401937046,0.4463840399002494,0.9362790697674419,0.5664556962025317,2065,401,2013,52,222,179,0.0
18,Raw SVC,5,1,0,0.8929440389294404,0.910999543587403,0.7490909090909091,0.9665859564164649,0.513715710723192,0.9379699248120301,0.6094674556213018,2065,401,1996,69,195,206,0.0
19,Raw SVC,5,1,0,0.8726682887266829,0.9482846902201741,0.5847953216374269,0.8968523002421307,0.7481296758104738,0.9218516674962668,0.6564551422319475,2065,401,1852,213,101,300,1.0
20,Raw SVC,5,0,0,0.8868613138686131,0.9048050770625566,0.7346153846153847,0.9665859564164649,0.4763092269326683,0.9346757199719035,0.5779122541603631,2065,401,1996,69,210,191,0.0
21,Raw SVC,4,1,0,0.8933495539334956,0.9114155251141552,0.75,0.9665859564164649,0.516209476309227,0.9381903642773208,0.6115214180206794,2065,401,1996,69,194,207,0.0
22,Raw SVC,4,1,0,0.8698296836982968,0.9458077709611452,0.5784313725490197,0.8958837772397095,0.7356608478802993,0.920169112161154,0.6476399560922065,2065,401,1850,215,106,295,1.0
23,Raw SVC,4,0,0,0.8876723438767234,0.9078467153284672,0.7262773722627737,0.9636803874092009,0.49625935162094764,0.9349307023725628,0.5896296296296296,2065,401,1990,75,202,199,0.0
24,Raw SVC,3,1,0,0.894566098945661,0.912665752171925,0.7526881720430108,0.9665859564164649,0.5236907730673317,0.9388523047977423,0.6176470588235294,2065,401,1996,69,191,210,0.0
25,Raw SVC,3,1,0,0.8718572587185726,0.9459459459459459,0.5841584158415841,0.8983050847457628,0.7356608478802993,0.9215101838052658,0.6512141280353201,2065,401,1855,210,106,295,1.0
26,Raw SVC,3,0,0,0.8876723438767234,0.9082191780821918,0.7246376811594203,0.9631961259079903,0.49875311720698257,0.9349001175088131,0.5908419497784342,2065,401,1989,76,201,200,0.0
27,Raw SVC,2,1,0,0.889294403892944,0.9151992585727525,0.7077922077922078,0.9564164648910412,0.543640897755611,0.9353540137343122,0.614950634696756,2065,401,1975,90,183,218,0.0
28,Raw SVC,2,1,0,0.8856447688564477,0.9359413202933985,0.6413301662707839,0.9268765133171912,0.6733167082294265,0.9313868613138686,0.6569343065693432,2065,401,1914,151,131,270,1.0
29,Raw SVC,2,0,0,0.8848337388483374,0.9113163972286374,0.6943521594684385,0.9554479418886198,0.5211970074812967,0.9328605200945627,0.5954415954415955,2065,401,1973,92,192,209,0.0
30,Raw SVC,1,1,0,0.8896999188969992,0.9210897134805073,0.6913946587537092,0.949636803874092,0.5810473815461347,0.9351454458750597,0.6314363143631436,2065,401,1961,104,168,233,0.0
31,Raw SVC,1,1,0,0.8775344687753447,0.9513568868407578,0.5964912280701754,0.8997578692493947,0.7630922693266833,0.9248382279741165,0.6695842450765864,2065,401,1858,207,95,306,1.0
32,Raw SVC,1,0,0,0.8896999188969992,0.9210897134805073,0.6913946587537092,0.949636803874092,0.5810473815461347,0.9351454458750597,0.6314363143631436,2065,401,1961,104,168,233,0.0
33,Deep Autoencoder,1,0,0,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
34,Deep Autoencoder,1,0,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
35,Deep Autoencoder,1,1,1,0.8373884833738848,0.8373884833738848,0.0,1.0,0.0,0.9114985654380932,0.0,2065,401,2065,0,401,0,0.0
36,Deep Autoencoder,1,1,1,0.6180048661800487,0.8755852842809364,0.22142121524201855,0.6338983050847458,0.5361596009975063,0.7353932584269663,0.3134110787172012,2065,401,1309,756,186,215,1.0
